bpm,loudness,year,title
150.837,-10.756,1981,(We Don't Need This) Fascist Groove Thang
143.231,-3.422,0,Drunk Alone
123.993,-12.26,0,Charisma
97.981,-23.527,2000,Going Down Slow
137.288,-9.435,0,All Rise
168.323,-8.639,0,Jogo Limpo
111.079,-7.672,2009,Silent Hill
133.009,-13.668,0,Our Love Is Here To Stay
146.577,-6.885,0,Everything Changes
140.458,-4.2,1996,Master Of Disharmony
132.506,-16.433,1983,(This Is Not A) Love Song (Live)
153.862,-6.951,1997,What Are We Here For
93.238,-14.737,2010,Une petite pause
124.086,-9.628,1986,Wig
66.765,-8.46,0,Perasmena Mesanihta
145.518,-3.736,1988,God Save the Queen (Live)
139.998,-4.376,0,Forever
90.648,-6.947,2004,Sun Is Shining
140.334,-12.279,0,New Age
89.86,-15.736,2005,Have Yourself A Merry Little Christmas
156.097,-5.871,2006,U Killed It
179.501,-12.053,0,Rain And Snow
86.689,-6.248,0,Gerra De De
160.261,-13.703,0,Kako mi je pitas sad
101.03,-9.716,0,Voices On The Corner
155.038,-6.258,2007,(Bloody Paw On The) Kill Floor
117.168,-11.702,1989,I Wish My Mother Was Here
132.967,-14.509,2003,Inolvidable
139.91,-9.062,1996,Miracle
95.882,-6.788,1999,Witch Weed (Live)
135.175,-12.772,1995,Not Buried Deep Enough
121.983,-9.258,0,Give Me 40 Acres (To Turn This Rig Around)
169.775,-24.597,0,Ernesto Nazareth
137.862,-8.161,2001,The Cube (Live)
83.326,-6.751,0,Get Back Down
117.667,-29.295,0,Battle Of The Rosebud / Cries
90.908,-12.658,0,Beyond the Light
151.953,-6.546,2008,Spaceman
161.054,-17.522,0,Pulecenella 'e mò
159.895,-10.777,0,Iskorosten' (instr.)
128.219,-9.993,0,Big Stax/High Volts (Album Version)
101.229,-12.99,0,It Goes On
98.859,-8.339,0,Pecado De Amor
125.975,-6.531,2001,Illuminate
154.09,-6.933,2007,Never Forget Me
124.237,-4.178,2001,Ukkosenjumalan poika
97.099,-8.91,1989,A B***** Is A B***** (Edited)
140.63,-2.069,2000,Kick Out The Jams
101.41,-16.844,0,Me And My Buddy
186.254,-3.803,2003,Amber Changing
210.47,-10.57,1995,Murder Academy
94.057,-6.694,1999,Hey Daddy
100.349,-16.753,0,4 Sea Interludes Op. 33a: Storm
124.009,-4.376,0,I Need You Now
90.084,-38.525,1986,Atmosphere Station
106.698,-1.843,2009,Walk Away
89.78,-3.937,2001,Shadows That Move
107.177,-16.006,2000,Smile
152.258,-19.794,0,Mountains Of Mourne
134.083,-7.614,2007,Kite Live from Sydney
106.398,-10.274,0,Loco (Crazy)
160.022,-5.912,2007,Ever Be
101.492,-7.108,0,Oh Look Misery
86.141,-15.578,0,Yesterdays
120.097,-9.334,0,Teacher's Pet
128.173,-16.942,2004,Palmer enquête
88.835,-6.021,0,Go To Hell
105.24,-13.135,0,Moon River - Original
162.385,-6.893,0,La Plus Bath Des Javas
109.636,-9.506,0,Infidel
108.264,-7.255,2003,English Summer Rain
119.524,-7.684,0,Spanish Shuffle (Album Version)
97.76,-12.385,2009,Intro
241.877,-4.779,2002,Empress So Divine
91.328,-11.356,1988,Terapia De Amor Intensiva
130.062,-8.147,0,Haunting
68.734,-6.582,1998,Lies Of Hate
94.658,-16.527,0,The First Noel
102.055,-10.173,2005,Musical Episode
109.065,-14.123,2001,Beautiful Brown eyes
184.981,-5.483,0,Drop the Bass
201.802,-7.307,2000,The Last Word (Amended Version)
119.67,-12.75,1984,Hard Times
105.181,-10.328,0,Just As Much As Ever
165.668,-9.668,0,Filipino Baby
188.056,-5.444,0,The Boss
143.97,-4.144,2007,Escapist
61.883,-18.349,1987,Jeffrey's Dark Side
0.0,-20.964,0,Someone to Watch Over Me
163.167,-11.877,0,Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente
144.836,-5.627,2002,Pinned To The Ground (album version)
108.499,-1.998,2005,Always And Never (Album Version)
193.978,-7.901,2007,Myth Takes
88.935,-8.798,0,Carpe PM
91.69,-5.934,2007,Who Shot Ya (Amended Album Version)
210.8,-10.7,1982,Poor Tom (Album Version)
82.205,-4.332,2008,Wounded Hearts
121.563,-15.672,0,Love's Been Good To Me
162.682,-15.54,1989,When Morning Comes To Town
106.219,-14.621,0,Estate
172.337,-11.428,0,Freedom Enough (From Silent Mother Nature)
210.305,-11.273,1993,Hai Shava
175.393,-9.745,1991,Nutty Block
128.459,-10.917,2005,Until You Love Someone
109.671,-21.787,2004,Part One From Triomusic
141.024,-14.449,0,Hello Young Lovers (LP Version)
125.558,-7.535,2006,Same Man
211.327,-10.918,2005,Quiero Ir Ao Mar
147.637,-21.25,0,The Owl and the Pussy-cat
98.49,-12.77,1998,Set You Free This Time
137.673,-15.574,0,Bloco Da Solidao (1996 Digital Remaster)
68.283,-9.79,1960,Will You Love Me Tomorrow
0.0,-32.017,0,Stille nacht_ heilige nacht
134.014,-5.533,0,Nine Ways
85.157,-8.901,0,Northern Downpour (Album Version)
86.162,-15.915,0,Bad Seed
93.106,-8.489,1995,Exchange
49.262,-13.366,0,Marie D'Aquitaine
80.149,-5.947,2000,Oh My God
82.422,-13.826,0,Joy To The World
107.197,-11.488,1989,Hoochie Coochie Man
124.177,-9.28,0,Ftei O Erotas
196.034,-7.928,1989,The Second Summer Of Love
64.401,-14.367,0,Prelude And Fugue In C Major BWV 531 : Fugue
130.861,-7.598,0,Don't Phunk With My Heart
90.008,-2.939,2007,Give It What U Got
122.174,-8.632,0,Dancing To A Standstill
95.981,-14.544,1999,Isla del Luna
75.955,-7.605,0,Spirit
210.871,-13.256,1989,Another Long One
105.196,-7.225,0,Leng Jing
106.689,-8.422,0,OAKtown
112.787,-5.12,1999,Larger Than Life
93.779,-23.996,2000,I Hold Your Hand In Mine [Live At Royal Albert Hall]
89.865,-8.041,0,Baby Come To Me
133.339,-10.957,0,Den Pai Alo
98.718,-14.835,0,It Wont Be Christmas
74.072,-22.289,0,Knocked Out Of The Park
130.006,-10.683,0,Salt In NYC
104.394,-18.703,0,Wessex Loses a Bride
159.587,-9.672,0,Erica (2005 Digital Remaster)
192.702,-10.754,1993,Blessed Assurance
98.11,-8.372,0,Loaded Like A Gun
118.595,-4.37,0,Rumba De Barcelona
143.601,-15.599,0,Clementina Santafè
81.319,-6.358,0,Wild Rose (Back 2 Basics Mix)
89.345,-7.884,0,Kutt Free (DJ Volume Remix)
174.993,-5.134,2005,Ten Tonne
129.122,-4.954,1994,A Higher Place (Album Version)
86.666,-26.358,0,Sono andati? Fingevo di dormire
231.867,-15.672,0,Got My Mojo Workin
190.698,-21.593,0,Get Your Head Stuck On Your Neck
97.538,-11.255,2004,Jenny Take a Ride
95.225,-11.494,0,Sonnerie lalaleulé hi houuu
139.993,-7.427,0,Midnight Star
159.233,-16.113,2003,Native Soul
124.75,-9.843,0,Der Kleine Dompfaff
100.415,-17.492,0,A Whiter Shade Of Pale (Live @ Fillmore West)
105.003,-6.301,1994,The Ballad Of Sleeping Beauty
110.218,-6.294,0,Streets On Fire (Explicit Album Version)
88.973,-7.64,0,Music is what we love
134.566,-18.341,2008,City Slickers
186.882,-22.752,2003,Intro
113.995,-4.169,2004,Harajuku Girls
90.199,-6.977,2000,Prognosis
111.032,-14.041,0,Living Hell
124.184,-16.994,0,Small World
157.746,-12.0,0,Truck Driving Man/Down In The Caribbean
100.032,-7.626,2005,Swallow The Knife (Live) (Segue)
185.88,-6.318,1998,Mayday
94.031,-12.811,1998,Lake Of Dreams
76.013,-9.448,1999,Because Of You
133.553,-10.398,0,Un Peu D'Amour Et D'Amitié
202.233,-5.537,2008,Rattlesnake!
133.405,-7.513,0,Disappeared
116.819,-17.16,2000,Doppelgänger [Qliphothic Phantasmagoria]
127.887,-9.788,0,Ain't No Love Ain't No Use (Love To Infinity Full Funk Mix)
124.872,-4.053,2006,Ghost Town Rituals (Album Version)
136.948,-3.159,0,Morning Glory
169.878,-13.781,0,Rudolph The Red-Nosed Reindeer
100.621,-10.968,2003,Tomorrow Gone
101.01,-6.996,0,I don't Want to Be Alone Tonight
157.779,-14.014,1967,Just A Little Lovin' (Will Go A Long Way)
91.483,-2.838,2007,Shameless
99.109,-15.046,0,And I Love You So
76.296,-15.008,1999,L' Envers Du Décor
92.672,-8.916,1993,Quiet Time
116.984,-6.908,1998,Little Sister
139.07,-9.371,0,Song For Mom (LP Version)
98.983,-5.234,0,All Over Me
123.695,-2.704,0,I Hate You
97.151,-3.325,2006,From The Blind (LP Version)
91.459,-8.933,0,Misanthrope
116.11,-8.548,0,Chains Chains (Live In Hammersmith)
85.282,-18.397,2002,The Date (Remix By Ana Rago)
140.872,-7.812,0,As My Fire Flies
144.003,-8.499,0,We Wish You A Merry Christmas
120.001,-5.165,1991,Böse
168.558,-10.274,0,Saturday Night Is The Loneliest Night In The Week
146.061,-12.708,0,A Mi No Me Importa
174.019,-5.797,2007,BYOB (Explicit Album Version)
85.691,-22.35,0,Le Presbytère n'a rien perdu de son Charme
92.606,-7.113,2003,Ven Morena
163.97,-7.467,0,Brighton by the Sea
97.619,-18.724,0,CHAOS INTRO
183.808,-5.386,2002,Bloody Pig Pile (Live)
92.044,-4.583,2009,Hex Breaker
126.806,-5.893,2004,The Melting Moon (Edit)
108.912,-17.805,0,Hawaiian Chimes
160.731,-4.228,0,Turn Around
104.307,-7.693,1999,L'accordéoniste
203.964,-6.622,2000,Tumba Tumba
131.683,-19.263,0,Why don't you eat where you slept last night ?
188.924,-2.315,2005,Suffocating Under Words Of Sorrow (What Can I Do)
126.342,-8.299,0,Im Moving On
112.097,-12.752,0,Deep Night/Softly As In A Morning Sunrise (Medley)
125.147,-13.078,1983,Let Me Show You [I Just Want To Make You Smile]
87.634,-10.231,0,Monster For Music
128.689,-11.26,2006,Complain
140.026,-3.573,2009,Daydreaming [Jakwob Remix]
147.576,-25.146,0,Dansende Foran Speilet
193.56,-12.091,1985,Ease
122.006,-8.576,2001,Everchanging
190.01,-6.832,2005,Too much informa
111.663,-13.481,0,L'insidieuse (Live)
100.76,-6.746,1994,So Hot
163.67,-16.077,0,Youlan_ Lonely Orchid (solo guqin)
127.298,-10.324,0,Forbidden Fruit
95.633,-13.456,0,Recorda-Me
160.011,-12.084,0,Lady Of Your Calibre
38.233,-19.461,2004,Italian For Goodbye (skit)
98.151,-6.608,2006,Anti Geroi
91.198,-7.758,2003,Stronger Than Me
75.467,-8.832,2009,Only For The Young
103.29,-7.458,0,T'as 16 ans demain
65.054,-14.952,0,Serene
161.796,-12.102,2006,So Jah Seh
115.258,-15.598,0,Joy In The Journey (The Final Word Album Version)
230.992,-12.01,0,Chorinho Pra Ele (Live)
179.988,-4.507,1999,Warrior's Quest
90.008,-5.568,0,Medley Leïla Chico
95.816,-9.636,1995,The Hustle
100.612,-9.559,0,Rakkauden satu - Histoire d'un Amour -
80.41,-4.621,2005,God Bless You (Goddamn it)
150.086,-3.536,2006,The Illusionist
191.929,-5.786,2005,La Route Est Belle
173.936,-8.089,2004,Urgence
117.984,-7.834,2000,Pero Me Acuerdo De Tí
153.551,-3.319,0,Trapped In Reality
131.079,-4.806,2006,Our Darkest Days
132.973,-10.895,1971,California Dreamin' (LP Version)
97.03,-10.862,0,Dumb Woman Blues
88.137,-9.513,0,Letting You Back In
133.383,-7.301,0,Hear Me Lord (2001 Digital Remaster)
142.68,-3.637,2001,Don't Let Go
107.185,-7.041,1993,U Don't Hear Me Tho' (Street Mix)
101.485,-11.927,1963,Lonely Street
90.636,-4.941,2008,Undertow
61.487,-13.103,0,12 Seasons of Love
152.434,-13.134,1968,Courtyard
121.232,-9.224,0,Have You Ever Seen The Rain
105.268,-20.842,0,Cry Baby
95.655,-5.653,0,Interlude
229.913,-8.654,2001,Terra
75.127,-27.806,0,Mother
106.769,-6.206,2004,A La Memoria Del Muerto
120.876,-14.979,1995,Sayin' Dope
123.657,-10.45,0,When The World Is Running Down_ You Make The Best Of What's Still Around
144.954,-4.179,0,My Bonnie Lies Over the Ocean
147.661,-8.471,1996,Now You Know
84.224,-14.688,0,I'm Sitting Here Waiting
172.287,-6.816,0,Korrupted - Remix
167.902,-6.609,0,Sex Objekt
74.046,-14.217,0,Rain / Ekoln
100.15,-11.661,2005,Reason With The Beast
85.771,-3.806,2006,As Diehard As They Come (Album Version)
210.898,-23.685,2002,No Unexpected Guests
140.259,-6.481,2010,Walls And Cannonballs (Album)
133.398,-18.863,1983,Trouble In The City
91.538,-9.131,2005,Dark Angel
114.73,-7.714,2007,Knocked Up
106.438,-5.68,0,Ven Conmigo/Perdoname (Live)
111.936,-6.825,2005,Taste Of Dis (Explicit Version)
93.015,-7.499,2006,Prvni vesela
101.662,-10.225,0,If You'd Only Talk To Me (Bonus Track)
179.502,-7.711,0,Librado Maldonado
70.649,-18.91,1982,Crass Commercialism
85.878,-9.718,0,Flores Negras
155.896,-8.942,2008,Rollercoaster Ride
163.567,-9.464,1999,Turning Away
121.553,-3.47,0,Metal from Hell...22nd Century
81.586,-10.453,0,The Girl I Find (LP Version)
150.066,-7.188,2007,Panda Bear
105.927,-10.269,2006,Drifting From Town To Town
88.001,-4.969,2006,Negativ Song
27.163,-16.051,0,The Lords Prayer
113.058,-9.899,0,Nubia (LP Version)
86.997,-22.825,0,Blake's Worried Blues
86.62,-3.235,0,You're My World
100.051,-5.959,1991,Ojos Gitanos
205.333,-13.777,0,Mira Nina
179.575,-13.774,0,Solamente Una Vez
134.051,-7.114,2006,Zolte Slonie
160.009,-7.249,2004,Sahti Waari
87.976,-3.865,2006,Nina Nina
125.003,-6.503,0,Only Do for Love
158.321,-13.462,0,Arrival
132.858,-9.846,0,Las Murallas De Jericó
95.503,-6.014,0,Megatrend
96.007,-6.181,0,In The Name of the Father
99.487,-14.816,0,I Can't Tame Wild Women
200.169,-6.435,0,A Somber Wind from a Distant Shore (Album)
124.194,-20.284,0,Little Timmy
109.702,-15.148,0,Erica
122.113,-11.97,0,Marcando El Ritmo Al Caminar
117.671,-9.996,0,To Agalma
179.264,-17.611,0,Damisela Encantadora
103.936,-7.401,2007,You Are My Memoir
107.536,-22.271,0,Donizetti: Roberto Devereux: L'ore trascorrono...
115.066,-19.976,1995,Pienso En Ti
91.191,-8.734,0,This Time I'll Be Sweeter
100.011,-12.552,0,Bus Station Blues (Live)
125.916,-9.903,2005,Mr. Prime Minister
85.311,-9.186,0,I Love You And You Love Me
200.716,-7.315,1997,A New Hope
182.168,-7.951,0,Como La Flor (2005 Re-mastering) (Live)
138.048,-6.26,0,Ponto
79.734,-26.626,0,Great Is Thy Faithfulness
87.453,-3.951,0,Party In The Burbs
125.086,-5.766,2008,Compulsory Resurrection
135.072,-6.883,0,Lobotomy
93.425,-8.72,0,The tears I cried
150.013,-5.208,2005,Party Til The Cows Come Home
66.988,-11.549,0,Don't Cry_ Joe
80.315,-10.918,0,La Excursion
126.533,-10.85,0,Big Balls And Cow Town
141.116,-10.881,0,Lie Down And Be Counted (2007 Digital Remaster)
152.194,-9.469,0,Your Amazing Grace (feat. Raul Midón)
115.033,-6.931,2007,Into A Swan
178.725,-12.677,0,To The Stars
154.172,-10.586,2009,The Joes Mobilize
150.867,-12.389,0,I Got To Quit My Baby
94.554,-10.483,2004,So Unhappy
196.188,-4.314,2001,San Cristobal
101.621,-20.846,1992,Kashmiri Love Song
144.073,-9.393,0,Marca de Amor Não Sai
90.027,-6.762,2009,Ammonite
67.745,-10.72,2004,If I Ruled The World
210.982,-6.084,0,The Sweep
101.08,-5.66,2005,Wake Me Up When September Ends (Live at Foxboro_ MA 9/3/05)
128.022,-16.113,0,I Love You
92.98,-9.647,0,This Christmas (LP Version)
126.938,-3.017,0,Curvy Cola Bottle Body
80.484,-6.282,2009,Volcán
127.0,-5.703,0,Alkohol
100.032,-7.743,0,Heart it Races (Frank Tetaz Remix)
124.788,-10.275,1979,Very Well
143.291,-14.891,1993,Village Attack/ The Arrest
107.845,-3.91,2009,Lesson Learned
90.18,-13.876,1995,(I Heard That) Lonesome Whistle
100.342,-9.586,1995,Here Comes The Hotstepper
137.534,-7.719,0,Almost Genuine
179.13,-14.934,0,Can't Shake That Girl
104.984,-4.44,2006,What You Deserve (Album Version)
97.02,-6.876,0,Es dificil
176.066,-7.803,2009,The Sweetest Curse
185.094,-2.542,2003,We're Back
86.571,-5.728,0,Talk Like POP
140.033,-8.135,0,Fuego Caliente
197.458,-5.799,1999,Un Tipo Como Yo
102.731,-11.937,1994,The Thrill Is Gone
142.116,-6.033,2000,Slave To The Wage
167.486,-3.028,1982,Hit The Lights
124.604,-13.992,0,Cancion Para Mi Muerte
117.329,-6.464,0,Have You Seen Her
208.416,-8.226,0,Don't Tell Me
105.535,-15.624,0,Karuna
159.959,-7.461,0,Lil Mama Getdown
88.02,-5.648,2007,Closing Scene
127.745,-7.199,1999,Get It For Free
88.973,-3.584,2005,Feelings
132.892,-5.963,2003,If You Love Me
89.966,-10.548,2006,Still There For Me
97.362,-7.381,0,Allein
120.712,-7.0,0,Doctor Of Hearts (Album Version)
63.007,-11.415,0,La Vida En Rosa
104.823,-16.357,1974,Crying Time
157.869,-8.132,0,You Can Always Come Home
91.704,-9.56,0,Little Bitty Pretty One
97.148,-4.714,2003,Shooting Stars
144.71,-16.263,2001,The Cookie Bakers of the Night
150.056,-9.699,0,Whip It
95.973,-4.141,0,The Blessing
151.5,-13.047,2004,Citizen Of The Planet
79.823,-4.541,0,Love Me Now (Rockwilder Remix) (Feat. Wyclef And Redman)
111.903,-6.311,2002,Something For The Pain
135.955,-10.3,0,Everyone_ Everywhere_ Everytime
141.334,-10.609,1999,This Is NOT a Crass Song
86.665,-12.649,0,Soul Searcher
70.331,-21.978,0,Skeletons (Live Acoustic Version)
130.032,-10.976,2005,Imagination
167.909,-6.022,2001,Flashflood
117.454,-14.489,0,What To Do Crying Waiting Hoping Learning The Game
86.199,-8.521,0,El niño de la calle
121.773,-15.546,2005,Old Times Sake
140.984,-8.952,0,Wasted Love
143.679,-7.329,2005,Eleanor Put Your Boots On
126.14,-6.446,2004,Ass Attack (Four Tet Remix)
137.941,-10.844,1981,Canta Brasil
146.894,-16.504,2008,Sally In the Garden
102.756,-10.086,0,Steamroller Blues
147.679,-8.579,0,Heute
145.917,-7.74,0,A Day In The Life (Album Version)
131.968,-6.366,0,Sous la Tour Eiffel
64.006,-4.683,2003,Falling Bombs
105.671,-9.01,0,Sometimes
163.385,-19.157,0,Wa'ahila (Instrumental - Bonus Track)
94.888,-12.22,0,Drive In Saturday - (Tribute to David Bowie)
135.914,-5.953,2009,My Life Would Suck Without You
120.703,-7.31,1991,Bed Crumbs
117.295,-8.224,0,J'l'ai pas dit
94.105,-12.437,0,I'm Just Wonderin' Part 2
95.111,-24.83,1992,No More Blues (Chega de Saudade)
100.893,-23.15,2002,Wave
113.082,-10.362,2001,What'd I Say
125.995,-8.525,2007,Ja (Hanno's Poppersmonstermix)
145.949,-7.7,0,Time to come true
152.461,-6.051,1991,Whatever's Cool With Me (LP Version)
140.13,-5.779,0,Winter (Four Seasons)
108.914,-11.236,0,Hallelujah
113.326,-4.998,2003,Creeper Kamikaze
89.927,-10.196,2007,Error
121.981,-8.521,1995,Seuraavassa elämässä
90.177,-13.512,2000,Fausse monnaie
95.179,-20.193,0,Chariots Of Fire
74.82,-12.298,0,I Live to Be Hated
100.145,-10.203,0,Siyabonga (Unreleased Bonus Track)
129.318,-5.492,1992,The Majesty Of Rock
105.29,-9.848,0,Blaue Matrosen (live)
176.153,-7.736,1980,Strange Thing
84.064,-12.714,1975,Journey To Love
112.071,-13.607,0,Alguna Vez
108.917,-9.883,0,Rotting Fumes
